Time,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,Speed,Cadence,Watts,AssistRatio,Range,BatteryPercentage,HeartRateBpm,Calories,DistanceMeters

1677083579084,38.858917,0.048717,0.0,151.0,36,30.0,3,73,69,0,973,0
1677083580085,38.858977,0.048641,0.0,181.0,37,50.0,4,73,69,0,973,0
1677083581084,38.858977,0.048641,0.0,178.0,43,60.0,4,40,69,0,973,0
1677083582096,38.858859,0.046381,0.0,239.0,54,60.0,4,40,69,0,973,0
1677083583084,38.85852,0.043034,0.0,250.0,40,30.0,4,40,69,0,973,0
1677083584085,38.858476,0.042575,0.0,214.0,50,60.0,4,40,69,0,973,0
1677083585085,38.858476,0.042569,0.0,281.0,63,20.0,4,40,69,0,973,0
1677083586084,38.858256,0.040261,0.0,243.0,49,0.0,4,40,69,0,973,0
1677083587084,38.858164,0.038808,0.0,117.0,38,20.0,4,40,69,0,973,0
1677083588099,38.858145,0.038486,0.0,273.0,54,60.0,4,40,69,0,973,0
1677083589084,38.858063,0.037104,0.0,273.0,4,0.0,4,40,69,0,973,0
1677083590084,38.858063,0.037104,0.0,273.0,0,0.0,4,40,69,0,973,0
1677083591085,38.858054,0.034735,0.0,0.0,52,50.0,4,40,69,0,973,0
1677083592085,38.858395,0.033799,0.0,115.0,21,10.0,4,40,69,0,973,0
1677083593084,38.859031,0.032143,0.0,138.0,37,30.0,4,40,69,0,973,0
1677083594092,38.859437,0.031064,0.0,112.0,27,30.0,4,40,69,0,973,0
1677083595084,38.860063,0.0294,0.0,325.0,67,90.0,4,40,69,0,974,0
1677083596084,38.860406,0.02847,0.0,325.0,0,0.0,4,40,69,0,974,0
1677083597084,38.861063,0.026686,0.0,132.0,36,50.0,4,40,69,0,974,0
1677083598084,38.861063,0.026686,0.0,225.0,27,0.0,4,40,69,0,974,0
1677083599084,38.861815,0.024658,0.0,254.0,50,20.0,4,40,69,0,974,0
1677083600094,38.862059,0.024004,0.0,119.0,25,0.0,4,40,69,0,974,0
1677083601084,38.862434,0.022937,0.0,119.0,28,0.0,4,40,69,0,974,0
1677083602084,38.862512,0.022523,0.0,158.0,32,0.0,4,40,69,0,974,0
1677083603084,38.862518,0.022273,0.0,116.0,23,10.0,4,40,69,0,974,0
1677083604100,38.862487,0.021859,0.0,111.0,24,0.0,4,40,69,0,974,0
1677083605084,38.862462,0.021545,0.0,119.0,26,0.0,4,40,69,0,974,0
1677083606084,38.862382,0.020632,0.0,141.0,29,0.0,4,40,69,0,974,0
1677083607084,38.862322,0.019907,0.0,136.0,32,10.0,4,40,69,0,974,0
1677083608084,38.862276,0.019069,0.0,163.0,21,0.0,4,40,69,0,974,0
1677083609084,38.862255,0.018489,0.0,150.0,54,0.0,4,40,69,0,974,0
1677083610095,38.862234,0.018027,0.0,228.0,43,0.0,4,40,69,0,974,0
1677083611084,38.862234,0.018027,0.0,207.0,42,0.0,4,40,69,0,974,0
1677083612092,38.862197,0.017009,0.0,170.0,17,0.0,4,40,69,0,974,0
1677083613084,38.862197,0.017009,0.0,158.0,14,0.0,4,40,69,0,974,0
1677083614084,38.862178,0.016523,0.0,132.0,3,0.0,4,40,69,0,974,0
1677083615084,38.862301,0.015472,0.0,117.0,0,0.0,4,40,69,0,974,0
1677083616084,38.862386,0.015179,0.0,101.0,0,0.0,4,40,69,0,974,0
1677083617084,38.862386,0.015179,0.0,85.0,-9,0.0,4,40,69,0,974,0
1677083618087,38.862555,0.014585,0.0,61.0,0,0.0,4,40,69,0,974,0
1677083619084,38.862689,0.014136,0.0,61.0,0,0.0,4,40,69,0,974,0
1677083620084,38.862766,0.013861,0.0,0.0,0,0.0,4,40,69,0,974,0
1677083621083,38.862766,0.013861,0.0,0.0,0,0.0,4,40,69,0,974,0
1677083622083,38.862891,0.013407,0.0,0.0,0,0.0,4,40,69,0,974,0
1677083623084,38.862931,0.013265,0.0,0.0,0,0.0,4,40,69,0,974,0
1677083624083,38.863084,0.012719,0.0,0.0,0,0.0,4,40,69,0,974,0
1677083625084,38.863347,0.011775,0.0,0.0,0,0.0,4,40,69,0,974,0
1677083626084,38.863488,0.011268,0.0,0.0,18,0.0,4,40,69,0,974,0
1677083627084,38.863488,0.011268,0.0,311.0,-1,0.0,4,40,69,0,974,0
1677083628083,38.863744,0.010292,0.0,217.0,0,0.0,4,40,69,0,974,0
1677083629083,38.863744,0.010292,0.0,81.0,34,20.0,4,40,69,0,974,0
1677083630084,38.863873,0.008994,0.0,219.0,44,0.0,4,40,69,0,974,0
1677083631083,38.863984,0.007913,0.0,307.0,53,30.0,4,40,69,0,974,0
1677083632083,38.863984,0.007913,0.0,176.0,44,20.0,4,40,69,0,974,0
1677083633084,38.864564,0.005826,0.0,150.0,44,30.0,4,40,69,0,974,0
1677083634084,38.864832,0.004845,0.0,285.0,62,10.0,4,40,69,0,974,0
1677083635084,38.865042,0.004056,0.0,82.0,9,0.0,4,40,69,0,974,0
1677083636084,38.865219,0.003396,0.0,433.0,65,50.0,4,40,69,0,974,0
1677083637083,38.865219,0.003396,0.0,301.0,42,0.0,4,40,69,0,974,0
1677083638083,38.865502,0.002372,0.0,264.0,62,20.0,4,40,69,0,974,0
1677083639083,38.865585,0.002076,0.0,373.0,74,0.0,4,40,69,0,974,0
1677083640084,38.865838,0.001137,0.0,351.0,70,0.0,4,40,69,0,974,0
1677083641083,38.866714,-0.002,0.0,327.0,67,0.0,4,40,69,0,974,0
1677083642083,38.867145,-0.003162,0.0,311.0,56,0.0,4,40,69,0,974,0
1677083643084,38.867145,-0.003162,0.0,299.0,54,0.0,4,40,69,0,974,0
1677083644084,38.867993,-0.00546,0.0,287.0,60,10.0,4,40,69,0,974,0
1677083645099,38.868094,-0.005803,0.0,330.0,74,40.0,4,40,69,0,974,0
1677083646083,38.868329,-0.006981,0.0,353.0,73,40.0,4,40,69,0,974,0
1677083647084,38.868529,-0.008069,0.0,336.0,68,10.0,4,40,69,0,974,0
1677083648083,38.868529,-0.008069,0.0,279.0,58,10.0,4,40,69,0,974,0
1677083649084,38.869028,-0.010697,0.0,270.0,57,20.0,4,40,69,0,974,0
1677083650083,38.869217,-0.011326,0.0,268.0,57,20.0,4,40,69,0,974,0
1677083651084,38.869651,-0.012769,0.0,284.0,59,30.0,4,40,69,0,974,0
1677083652083,38.870081,-0.013835,0.0,294.0,63,30.0,4,40,69,0,974,0
1677083653082,38.870081,-0.013835,0.0,314.0,67,30.0,4,40,69,0,974,0
1677083654101,38.87175,-0.017689,0.0,274.0,58,40.0,4,40,69,0,974,0
1677083655083,38.87175,-0.017689,0.0,273.0,57,50.0,4,40,69,0,974,0
1677083656083,38.873738,-0.022229,0.0,280.0,59,60.0,4,40,69,0,974,0
1677083657083,38.873948,-0.022709,0.0,280.0,60,60.0,4,40,69,0,974,0
1677083658083,38.873948,-0.022709,0.0,280.0,61,60.0,4,40,69,0,975,0
1677083659083,38.874822,-0.024681,0.0,297.0,64,70.0,4,40,69,0,975,0
1677083660097,38.87546,-0.025684,0.0,301.0,64,60.0,4,40,69,0,975,0
1677083661083,38.87546,-0.025684,0.0,309.0,66,60.0,4,40,69,0,975,0
1677083662083,38.876085,-0.026545,0.0,305.0,63,60.0,4,40,69,0,975,0
1677083663083,38.876211,-0.026715,0.0,286.0,60,50.0,4,40,69,0,975,0
1677083664083,38.876319,-0.02686,0.0,293.0,61,50.0,4,40,69,0,975,0
1677083665083,38.876485,-0.027089,0.0,289.0,61,50.0,4,40,69,0,975,0
1677083666083,38.876853,-0.027616,0.0,270.0,54,50.0,4,40,69,0,975,0
1677083667083,38.877126,-0.028007,0.0,373.0,75,80.0,4,40,69,0,975,0
1677083668083,38.877126,-0.028007,0.0,253.0,52,50.0,4,40,69,0,975,0
1677083669083,38.877819,-0.028936,0.0,309.0,67,40.0,4,40,69,0,975,0
1677083670083,38.877819,-0.028936,0.0,203.0,53,30.0,4,40,69,0,975,0
1677083671082,38.878325,-0.029535,0.0,297.0,57,30.0,4,40,69,0,975,0
1677083672094,38.878494,-0.029737,0.0,264.0,54,20.0,4,40,69,0,975,0
1677083673083,38.878795,-0.030096,0.0,220.0,46,20.0,4,40,69,0,975,0
1677083674083,38.879272,-0.030665,0.0,263.0,48,20.0,4,40,69,0,975,0
1677083675097,38.879645,-0.031109,0.0,249.0,51,20.0,4,40,69,0,975,0
1677083676083,38.880009,-0.031544,0.0,244.0,52,20.0,4,40,69,0,975,0
1677083677083,38.880009,-0.031544,0.0,245.0,52,20.0,4,40,69,0,975,0
1677083678082,38.88048,-0.032107,0.0,223.0,46,10.0,4,40,69,0,975,0
1677083679083,38.88048,-0.032107,0.0,238.0,46,20.0,4,40,69,0,975,0
1677083680082,38.880992,-0.032719,0.0,223.0,6,0.0,4,40,69,0,975,0
1677083681083,38.881224,-0.032997,0.0,59.0,0,0.0,4,40,69,0,975,0
1677083682082,38.881593,-0.03344,0.0,59.0,0,0.0,4,40,69,0,975,0
1677083683082,38.881711,-0.033582,0.0,0.0,0,0.0,4,40,69,0,975,0
1677083684082,38.881855,-0.033753,0.0,0.0,0,0.0,4,40,69,0,975,0
1677083685082,38.881855,-0.033753,0.0,0.0,0,0.0,4,40,69,0,975,0
1677083686082,38.882274,-0.034247,0.0,0.0,0,0.0,4,40,69,0,975,0
